lld,label,entropy,length
medical-dictionary,0,3.5724312513221195,18
online,0,2.2516291673878226,6
globoesporte,0,3.0220552088742,12
myweb2.search,0,3.5465935642949384,13
img-fotki,0,2.94770277922009,9
img832,0,2.584962500721156,6
encrypted-tbn2,0,3.378783493486176,14
work,0,2.0,4
partners,0,2.75,8
tc,0,1.0,2
cxt,0,1.584962500721156,3
vi,0,1.0,2
www.beian,0,2.6416041678685933,9
www.bj,0,1.7924812503605778,6
mp,0,1.0,2
view,0,2.0,4
petition,0,2.5,8
idinfo,0,2.2516291673878226,6
uland,0,2.321928094887362,5
dict,0,2.0,4
oauth,0,2.321928094887362,5
members,0,2.2359263506290326,7
hb.afl,0,2.584962500721156,6
ca,0,1.0,2
public,0,2.584962500721156,6
cincodias,0,2.725480556997868,9
szcert,0,2.584962500721156,6
3g,0,1.0,2
caigou,0,2.584962500721156,6
rkn,0,1.584962500721156,3
assets,0,1.7924812503605778,6
digi,0,1.5,4
wireless,0,2.5,8
hotels,0,2.584962500721156,6
ck.jp.ap,0,2.5,8
ye,0,1.0,2
vignette.wikia,0,3.182005814760214,14
industry,0,3.0,8
media-cache-ak0,0,3.1898980954642875,15
japan,0,1.9219280948873623,5
farm2,0,2.321928094887362,5
enjoy,0,2.321928094887362,5
secure,0,2.2516291673878226,6
sj,0,1.0,2
mingqi,0,2.2516291673878226,6
s3.ap-northeast-2,0,3.6168746059562227,17
mchs,0,2.0,4
hd,0,1.0,2
thumbs,0,2.584962500721156,6
refer,0,1.5219280948873621,5
pubads.g,0,3.0,8
sd,0,1.0,2
share.v.t,0,2.94770277922009,9
rcm-fe,0,2.584962500721156,6
kyrieirving-shoes,0,3.4548223999466066,17
www.kyrieirving-shoes,0,3.6537567082870006,21
he,0,1.0,2
timeline,0,2.5,8
image,0,2.321928094887362,5
pfu,0,1.584962500721156,3
raf,0,1.584962500721156,3
retro-jordans,0,3.180832987205441,13
track,0,2.321928094887362,5
baike,0,2.321928094887362,5
share,0,2.321928094887362,5
media-cdn,0,2.94770277922009,9
bape-hoodie,0,3.095795255000934,11
regulation,0,3.321928094887362,10
forum.home,0,2.9219280948873623,10
pp,0,-0.0,2
www.airmax270,0,3.180832987205441,13
yeezy700,0,2.25,8
www.yeezy700,0,2.688721875540867,12
www-groups.dcs,0,3.3248629576173574,14
vosdroits,0,2.725480556997868,9
sankei.jp,0,3.169925001442312,9
airmax270,0,2.94770277922009,9
pl,0,1.0,2
myactivity,0,2.7219280948873625,10
saratov,0,2.5216406363433186,7
browser,0,2.5216406363433186,7
army,0,2.0,4
profile,0,2.807354922057604,7
jp,0,1.0,2
bus,0,1.584962500721156,3
boards,0,2.584962500721156,6
fas,0,1.584962500721156,3
ai,0,1.0,2
livedoor,0,2.75,8
gallery,0,2.5216406363433186,7
union-click,0,2.9139770731827523,11
forex,0,2.321928094887362,5
us4,0,1.584962500721156,3
culture,0,2.5216406363433186,7
genproc,0,2.807354922057604,7
ws,0,1.0,2
passport,0,2.5,8
goyard,0,2.584962500721156,6
www.city,0,2.4056390622295662,8
rcm-jp,0,2.584962500721156,6
economy,0,2.5216406363433186,7
ep,0,1.0,2
beijing,0,2.5216406363433186,7
services,0,2.5,8
tr-tr,0,1.5219280948873621,5
club,0,2.0,4
wiadomosci,0,2.9219280948873623,10
preferences-mgr,0,3.0565647621309537,15
royalnavy,0,2.725480556997868,9
forums,0,2.584962500721156,6
farm8.static,0,3.2516291673878226,12
story,0,2.321928094887362,5
researchbriefings,0,3.292770193936991,17
council,0,2.5216406363433186,7
battlelog,0,2.725480556997868,9
img383,0,2.251629167387823,6
cul,0,1.584962500721156,3
adserver,0,2.5,8
img1,0,2.0,4
www.adidasultraboost,0,3.446439344671015,20
health,0,2.2516291673878226,6
images-eu,0,2.94770277922009,9
window,0,2.2516291673878226,6
rss,0,0.9182958340544896,3
digital,0,2.5216406363433186,7
forms,0,2.321928094887362,5
anpc,0,2.0,4
adidasultraboost,0,3.202819531114783,16
house,0,2.321928094887362,5
tgl,0,1.584962500721156,3
linux,0,2.321928094887362,5
nb,0,1.0,2
webmaster,0,2.94770277922009,9
open.qzone,0,2.721928094887362,10
kingcameranfoundation,0,3.5944656369614516,21
obrnadzor,0,2.725480556997868,9
ww2,0,0.9182958340544896,3
lookaside,0,2.94770277922009,9
kadet,0,2.321928094887362,5
www.nmg,0,2.1280852788913944,7
thumbnail.image,0,3.5068905956085183,15
school-collection,0,3.0574760762899316,17
sike,0,2.0,4
www.xj,0,1.7924812503605778,6
hansard,0,2.5216406363433186,7
widgets.itunes,0,3.2359263506290334,14
sina,0,2.0,4
corp,0,2.0,4
gkcx,0,2.0,4
i12,0,1.584962500721156,3
rcm-uk,0,2.584962500721156,6
channelstore,0,3.2516291673878226,12
ask,0,1.584962500721156,3
mfa,0,1.584962500721156,3
ege,0,0.9182958340544896,3
oa,0,1.0,2
gongyi,0,2.2516291673878226,6
mediad,0,2.2516291673878226,6
ssl,0,0.9182958340544896,3
cdn3,0,2.0,4
vocal-buzz,0,3.1219280948873624,10
gr,0,1.0,2
www.ha,0,1.7924812503605778,6
forum,0,2.321928094887362,5
lineit,0,2.2516291673878226,6
www.sx,0,1.7924812503605778,6
lentreprise,0,2.8453509366224368,11
scottish,0,2.5,8
leg1,0,2.0,4
static,0,2.2516291673878226,6
career5,0,2.2359263506290326,7
cdn11,0,1.9219280948873623,5
wh,0,1.0,2
mon,0,1.584962500721156,3
grad-schools.usnews,0,3.7216117239699,19
mansted.dk,0,3.1219280948873624,10
flashservice,0,3.2516291673878226,12
tspu,0,2.0,4
c8,0,1.0,2
huanyan,0,2.2359263506290326,7
cdn.images,0,3.321928094887362,10
mhqy,0,2.0,4
travel,0,2.584962500721156,6
www.us,0,1.7924812503605778,6
sandbox4,0,3.0,8
life-study1984,0,3.8073549220576055,14
j,0,-0.0,1
jsyzh,0,2.321928094887362,5
fcior,0,2.321928094887362,5
img,0,1.584962500721156,3
nikezoom,0,2.75,8
coachfactoryoutlet-storeonline,0,3.6695767463163933,30
photo,0,1.9219280948873623,5
physics,0,2.521640636343318,7
hips,0,2.0,4
ywzxdy,0,2.2516291673878226,6
zwfw-new,0,2.4056390622295662,8
page.auctions,0,3.5465935642949384,13
yt3,0,1.584962500721156,3
sdlushuyan,0,2.9219280948873623,10
monclers,0,3.0,8
ad2,0,1.584962500721156,3
mnr,0,1.584962500721156,3
function,0,2.75,8
bbg,0,0.9182958340544896,3
phpfmg,0,2.2516291673878226,6
www.hi,0,1.7924812503605778,6
et,0,1.0,2
a,0,-0.0,1
byzh,0,2.0,4
baby,0,1.5,4
minpromtorg,0,2.9139770731827523,11
premier,0,2.2359263506290326,7
scontent-frx5-1,0,3.506890595608518,15
ad.jp.ap,0,2.25,8
pandoracharms,0,3.180832987205441,13
love,0,2.0,4
sh,0,1.0,2
buyamoxicillin,0,3.3248629576173565,14
studentlife,0,3.0957952550009344,11
i3,0,1.0,2
www.tj,0,1.7924812503605778,6
aldradach,0,2.4193819456463714,9
katespadehandbagsclearance,0,3.488525294897748,26
www.katespadehandbagsclearance,0,3.698068512058838,30
publicfiles,0,3.095795255000934,11
stocks.finance,0,3.378783493486176,14
rivals,0,2.584962500721156,6
mipu,0,2.0,4
fms,0,1.584962500721156,3
uggsoutletofficials,0,3.4058222502856905,19
pandora-jewelry,0,3.5068905956085183,15
www.uggsoutletofficials,0,3.6211755429194716,23
home,0,2.0,4
jb,0,1.0,2
www.pradaoutletonlinestore,0,3.661226256269789,26
pradaoutletonlinestore,0,3.447401504705915,22
lottery,0,2.5216406363433186,7
ed,0,1.0,2
module,0,2.584962500721156,6
newbalance-shoes,0,3.327819531114783,16
jurasskpark,0,2.7321588913645702,11
da-dk,0,1.9219280948873623,5
demo,0,2.0,4
eshop,0,2.321928094887362,5
book,0,1.5,4
fitflops-sale-clearance,0,3.555533151426996,23
www.fitflops-sale-clearance,0,3.7541634277688805,27
skechersshoes-outlet,0,3.221928094887362,20
tadalafil,0,2.4193819456463714,9
lv,0,1.0,2
thecorner,0,2.725480556997868,9
license,0,2.521640636343318,7
zwfw,0,1.5,4
be,0,1.0,2
www.gx,0,1.7924812503605778,6
files,0,2.321928094887362,5
s012,0,2.0,4
www.tomsshoes,0,2.8150724101159437,13
bsaa,0,1.5,4
bsu,0,1.584962500721156,3
www.sc,0,1.7924812503605778,6
b2binfo,0,2.5216406363433186,7
comic,0,1.9219280948873623,5
us,0,1.0,2
themes,0,2.2516291673878226,6
insanityworkout,0,3.373557262275185,15
scontent-sea1-1,0,3.106890595608519,15
dc.watch,0,2.75,8
edu,0,1.584962500721156,3
bbs2,0,1.5,4
press,0,1.9219280948873623,5
pt.afl,0,2.584962500721156,6
www2,0,0.8112781244591328,4
espanol,0,2.807354922057604,7
dba,0,1.584962500721156,3
foro,0,1.5,4
canadagoosejacketsshop,0,3.481714572986072,22
projectreporter,0,2.656564762130954,15
demo2,0,2.321928094887362,5
yyk,0,0.9182958340544896,3
longchamp-outletstore,0,3.7489948035250964,21
rs,0,1.0,2
zhongce,0,2.807354922057604,7
syndication,0,3.095795255000934,11
game,0,2.0,4
cheapjordansfor-sale,0,3.6841837197791887,20
bg.ac,0,2.321928094887362,5
nikeoutletonlinestore,0,3.141619208183979,21
honey,0,2.321928094887362,5
fadm,0,2.0,4
cadw,0,2.0,4
tomsk,0,2.321928094887362,5
ethos,0,2.321928094887362,5
bash,0,2.0,4
pm1,0,1.584962500721156,3
nc,0,1.0,2
sweden,0,2.2516291673878226,6
af,0,1.0,2
help,0,2.0,4
thumbs1,0,2.807354922057604,7
m-mip,0,1.9219280948873623,5
www.cheapofficialjerseys,0,3.7720552088742005,24
nikeairmax90,0,3.2516291673878226,12
ux,0,1.0,2
asv,0,1.584962500721156,3
yafeiml,0,2.807354922057604,7
ka,0,1.0,2
ko-kr,0,1.9219280948873623,5
minenergo,0,2.725480556997868,9
drivers,0,2.5216406363433186,7
smiles,0,2.2516291673878226,6
atasehir,0,2.75,8
rk,0,1.0,2
affiliates,0,2.721928094887362,10
donate,0,2.584962500721156,6
coachoutletsstorefactory,0,3.386842188131012,24
emall,0,1.9219280948873623,5
asi,0,1.584962500721156,3
scontent-amt2-1,0,3.3232314287976203,15
customer,0,3.0,8
rpx,0,1.584962500721156,3
bj,0,1.0,2
nz,0,1.0,2
sc02,0,2.0,4
people,0,1.9182958340544893,6
jordans,0,2.807354922057604,7
partner,0,2.5216406363433186,7
slide.sports,0,3.188721875540867,12
nikeairmax,0,2.9219280948873623,10
minobrnauki,0,3.0957952550009344,11
property,0,2.5,8
thomas-sabos,0,2.8553885422075336,12
minsport,0,3.0,8
bestpage24,0,3.121928094887362,10
cyb3rpunk,0,3.169925001442312,9
imstore,0,2.807354922057604,7
lroc.sese,0,2.725480556997868,9
the-northface,0,3.238901256602631,13
blogs,0,2.321928094887362,5
moxy-hotels,0,3.2776134368191165,11
longchampoutletonline,0,3.52257158913636,21
reeboks,0,2.5216406363433186,7
jordan,0,2.584962500721156,6
hogans,0,2.584962500721156,6
long-champ,0,3.321928094887362,10
nike-store,0,3.121928094887362,10
michaelkors,0,3.459431618637298,11
salomonshoes,0,2.792481250360578,12
oakleys,0,2.807354922057604,7
nike-airmax,0,3.0957952550009344,11
adidasshoes,0,2.663532754804255,11
vansschuhe,0,2.9219280948873623,10
raybans,0,2.5216406363433186,7
airmax,0,2.2516291673878226,6
pradas,0,2.2516291673878226,6
cg,0,1.0,2
magnet,0,2.584962500721156,6
desk,0,2.0,4
sounds,0,2.2516291673878226,6
wapyyk,0,2.251629167387823,6
sakha,0,1.9219280948873623,5
foundation,0,2.9219280948873623,10
zzlz,0,0.8112781244591328,4
nfljerseysonline,0,3.1556390622295662,16
creditcard,0,2.721928094887362,10
vn,0,1.0,2
marvelcinematicuniverse,0,3.4472624994412104,23
st,0,1.0,2
btn,0,1.584962500721156,3
www.retro-jordan,0,3.2806390622295662,16
www.toryburchoff,0,3.327819531114783,16
www.sxzx,0,2.1556390622295662,8
www.coachoutletsstore,0,3.427333493898265,21
kroky,0,1.9219280948873623,5
hollisteronlineshop,0,3.221097250057957,19
www.longchamp-outlets,0,3.880179922675737,21
c-rockwork,0,2.5219280948873624,10
brand,0,2.321928094887362,5
ugg,0,0.9182958340544896,3
scontent-lax3-1,0,3.506890595608518,15
fskn,0,2.0,4
www.insanity,0,2.8553885422075336,12
sms,0,0.9182958340544896,3
ach,0,1.584962500721156,3
