lld,label,entropy,length,numbchars,numbdots
louis-vuitton-taschen,0,3.5944656369614516,21,0.09523809523809523,0
nemzetipark,0,3.2776134368191165,11,0.0,0
movie,0,2.321928094887362,5,0.0,0
sac,0,1.584962500721156,3,0.0,0
stat,0,1.5,4,0.0,0
newbalance,0,2.721928094887362,10,0.0,0
blpc,0,2.0,4,0.0,0
ogyei,0,2.321928094887362,5,0.0,0
rfbk,0,2.0,4,0.0,0
da,0,1.0,2,0.0,0
sysimages,0,2.6416041678685933,9,0.0,0
alumni,0,2.584962500721156,6,0.0,0
ulkk,0,1.5,4,0.0,0
www.jordan11winlike82,0,3.7256507561120933,21,0.23809523809523808,1
yyac,0,1.5,4,0.0,0
fgyp,0,2.0,4,0.0,0
danas,0,1.9219280948873623,5,0.0,0
heyi,0,2.0,4,0.0,0
codeblog,0,2.75,8,0.0,0
kiqs,0,2.0,4,0.0,0
zzog,0,1.5,4,0.0,0
cabinet,0,2.807354922057604,7,0.0,0
images-i,0,2.75,8,0.125,0
i96,0,1.584962500721156,3,0.6666666666666666,0
bpui,0,2.0,4,0.0,0
msek,0,2.0,4,0.0,0
hk.finance,0,3.121928094887362,10,0.1,1
fs18,0,2.0,4,0.5,0
ios,0,1.584962500721156,3,0.0,0
thepoint,0,2.75,8,0.0,0
or,0,1.0,2,0.0,0
qmhi,0,2.0,4,0.0,0
minstm,0,2.2516291673878226,6,0.0,0
klzy,0,2.0,4,0.0,0
www.nikeairmax-270,0,3.6835423624332306,18,0.2777777777777778,1
minsk,0,2.321928094887362,5,0.0,0
lizx,0,2.0,4,0.0,0
tuan,0,2.0,4,0.0,0
odnb,0,2.0,4,0.0,0
kirsoft,0,2.807354922057604,7,0.0,0
uggsboots,0,2.5032583347756456,9,0.0,0
azino77,0,2.521640636343318,7,0.2857142857142857,0
uggs-boots,0,2.7219280948873625,10,0.1,0
uzxx,0,1.5,4,0.0,0
fasi,0,2.0,4,0.0,0
alania,0,1.7924812503605778,6,0.0,0
digitalmusicnews,0,3.577819531114783,16,0.0,0
novsu,0,2.321928094887362,5,0.0,0
ycdx,0,2.0,4,0.0,0
prme,0,2.0,4,0.0,0
geetha,0,2.2516291673878226,6,0.0,0
zai,0,1.584962500721156,3,0.0,0
baraholka,0,2.6416041678685933,9,0.0,0
aquafan,0,2.1280852788913944,7,0.0,0
foreign,0,2.807354922057604,7,0.0,0
dblw,0,2.0,4,0.0,0
multimedia,0,2.9219280948873623,10,0.0,0
ens,0,1.584962500721156,3,0.0,0
okm,0,1.584962500721156,3,0.0,0
natures,0,2.807354922057604,7,0.0,0
nxci,0,2.0,4,0.0,0
ahhw,0,1.5,4,0.0,0
nkfih,0,2.321928094887362,5,0.0,0
mylene,0,2.251629167387823,6,0.0,0
tviplayer,0,3.169925001442312,9,0.0,0
unuh,0,1.5,4,0.0,0
oqtz,0,2.0,4,0.0,0
wbcs,0,2.0,4,0.0,0
syyv,0,1.5,4,0.0,0
canada-goose,0,3.0220552088742005,12,0.08333333333333333,0
orsm,0,2.0,4,0.0,0
qsci,0,2.0,4,0.0,0
mvro,0,2.0,4,0.0,0
vestnik,0,2.807354922057604,7,0.0,0
nkh,0,1.584962500721156,3,0.0,0
kosmos-x,0,2.5,8,0.125,0
camera,0,2.2516291673878226,6,0.0,0
wohj,0,2.0,4,0.0,0
mgrt,0,2.0,4,0.0,0
skazka,0,1.9182958340544893,6,0.0,0
laue,0,2.0,4,0.0,0
cixo,0,2.0,4,0.0,0
mz,0,1.0,2,0.0,0
zf,0,1.0,2,0.0,0
xqkt,0,2.0,4,0.0,0
biko,0,2.0,4,0.0,0
utrish,0,2.584962500721156,6,0.0,0
ujszechenyiterv,0,3.5898980954642865,15,0.0,0
budget,0,2.584962500721156,6,0.0,0
sztnh,0,2.321928094887362,5,0.0,0
ocala,0,1.9219280948873623,5,0.0,0
forum-sportowe,0,3.3248629576173574,14,0.07142857142857142,0
issp,0,1.5,4,0.0,0
mti,0,1.584962500721156,3,0.0,0
sc,0,1.0,2,0.0,0
neuro,0,2.321928094887362,5,0.0,0
mayweathervsmaidanalive,0,3.551191174465697,23,0.0,0
cors,0,2.0,4,0.0,0
tetradka,0,2.5,8,0.0,0
tanjug.co,0,3.169925001442312,9,0.1111111111111111,1
zx,0,1.0,2,0.0,0
szpi,0,2.0,4,0.0,0
tuvi,0,2.0,4,0.0,0
rayban-outlet,0,3.3927474104487847,13,0.07692307692307693,0
windxp,0,2.584962500721156,6,0.0,0
eap,0,1.584962500721156,3,0.0,0
anzhuo,0,2.584962500721156,6,0.0,0
autosport,0,2.725480556997868,9,0.0,0
jw,0,1.0,2,0.0,0
der,0,1.584962500721156,3,0.0,0
parnu,0,2.321928094887362,5,0.0,0
smb,0,1.584962500721156,3,0.0,0
blic.co,0,2.521640636343318,7,0.14285714285714285,1
show,0,2.0,4,0.0,0
vns,0,1.584962500721156,3,0.0,0
teddylsd,0,2.4056390622295662,8,0.0,0
audio-ssl.itunes,0,3.452819531114783,16,0.125,1
cluster26763,0,3.4182958340544896,12,0.4166666666666667,0
sev,0,1.584962500721156,3,0.0,0
foreignaffairs,0,3.039148671903071,14,0.0,0
moi,0,1.584962500721156,3,0.0,0
mcafee,0,2.2516291673878226,6,0.0,0
eurovision,0,2.9219280948873623,10,0.0,0
admitere,0,2.75,8,0.0,0
haerbin,0,2.807354922057604,7,0.0,0
dom,0,1.584962500721156,3,0.0,0
lingkun,0,2.5216406363433186,7,0.0,0
tommy-hilfigers,0,3.6402239289418516,15,0.06666666666666667,0
tyc,0,1.584962500721156,3,0.0,0
turgenev,0,2.75,8,0.0,0
dj,0,1.0,2,0.0,0
offers,0,2.2516291673878226,6,0.0,0
mygameforums,0,3.188721875540867,12,0.0,0
zhuanti,0,2.807354922057604,7,0.0,0
fatalenergy,0,3.0957952550009344,11,0.0,0
www.windowsticker,0,3.286895754518763,17,0.058823529411764705,1
mrp-listings,0,3.2516291673878226,12,0.08333333333333333,0
cosmo,0,1.9219280948873623,5,0.0,0
tj,0,1.0,2,0.0,0
brzs,0,2.0,4,0.0,0
ssa,0,0.9182958340544896,3,0.0,0
ukom,0,2.0,4,0.0,0
nike-airforce,0,3.238901256602631,13,0.07692307692307693,0
bbs1,0,1.5,4,0.25,0
cleft.med,0,2.94770277922009,9,0.1111111111111111,1
sf2,0,1.584962500721156,3,0.3333333333333333,0
wesnoth,0,2.807354922057604,7,0.0,0
fsff,0,0.8112781244591328,4,0.0,0
jfrc,0,2.0,4,0.0,0
rts.co,0,2.584962500721156,6,0.16666666666666666,1
f88,0,0.9182958340544896,3,0.6666666666666666,0
content,0,2.2359263506290326,7,0.0,0
dxw,0,1.584962500721156,3,0.0,0
hastravel,0,2.94770277922009,9,0.0,0
mrs-bartra,0,2.6464393446710157,10,0.1,0
jiancai,0,2.2359263506290326,7,0.0,0
awais,0,1.9219280948873623,5,0.0,0
mnl,0,1.584962500721156,3,0.0,0
crockpot,0,2.5,8,0.0,0
gold,0,2.0,4,0.0,0
boardgames,0,3.121928094887362,10,0.0,0
defenceimagery,0,3.2359263506290334,14,0.0,0
iha,0,1.584962500721156,3,0.0,0
3339,0,0.8112781244591328,4,1.0,0
w-panienski,0,3.095795255000934,11,0.09090909090909091,0
273.adsina,0,3.121928094887362,10,0.4,1
vos,0,1.584962500721156,3,0.0,0
met,0,1.584962500721156,3,0.0,0
auis,0,2.0,4,0.0,0
sexualhealth,0,2.9182958340544896,12,0.0,0
